"filn";"site";"coln";"bbid";"dat";"cpday";"nPoll";"nRais";"nGarb";"orad";"mH";"P_Acer";"P_Aesculus";"P_Asteraceae";"P_Brassicaceae";"P_Centaurea.cyanus";"P_Cytisus";"P_Echium.vulgare";"P_Fraxinus";"P_Glechoma.hederacea";"P_Heracleum";"P_Jasione.montana";"P_Laburnum";"P_Lamium";"P_Lonicera";"P_Lupinus";"P_Papaver";"P_Phacelia";"P_Pinaceae";"P_Potentilla.group";"P_Prunus.group";"P_Prunus.groupB";"P_Pulmonaria.group";"P_Quercus";"P_Ranunculus";"P_Rhododendron";"P_Robinia";"P_Salix";"P_Sambucus";"P_Solanum";"P_Spiraea";"P_Symphytum";"P_Taraxacum";"P_Tilia";"P_Trifolium.pratense";"P_Trifolium.repens.group";"P_Viola.arvensis.group"
"BrA1_54_2017-06-22 1003969";"Br";"A1";"BrA1_54";"2017-06-22";1;2564;241,955678128203;1108,33641904102;"orig";0,62279111051531;0,00932705823883756;0,000743070086403167;0,000471351024350181;0,000519285835804531;0,00169994261109266;0,00228176610591975;0,00221755731066939;0,00489352118986878;0,0252930567340292;0,000296202396362597;4,21230565884757e-05;0,00092811598919037;0,00590493849997937;0,00175796991472676;0,00317340573516439;0,0127940484267549;0,00467214508780736;0,000550566318860194;0,00089668326686212;0,174381873759291;0,0779727096141691;0,0901688595097664;0,000550758625118883;0,000857641524741964;0,0297196657776534;0,52643146794638;0,000983268576966216;0,00761958930072203;0,0010056392833044;0,00228848662805922;0,00192851354252918;3,37046941592723e-05;0,000528589587576567;0,00127196128351702;0,00486371973025858;0,000930742786514674
"BrA1_54_2017-06-22 1003969";"Br";"A1";"BrA1_54";"2017-06-22";1;2564;241,955678128203;1108,33641904102;"adjust";0,411303487744696;0,00165948058738946;0,000382125859713557;0,0003902338215197;6,20823112823007e-05;0,000677995981642757;0,000129653165952676;0,00220218707164257;0,00145183715351214;0,00755073884392733;2,01578844540455e-06;9,98730986899337e-08;0,000450465950464014;0,000890707419423112;0,00118461762139128;0,000401284760077755;0,00853215169396083;0,00460401514055437;8,97595554982141e-06;0,000339768478330186;0,144363203166617;0,0554268969399956;0,0602795040927182;5,32993824843319e-06;0,000213361847897884;0,0264101679786938;0,6698221893904;0,000591064184627426;0,00839876141856049;0,000154350859587136;0,00165249376590224;0,000519502367310434;1,70587858461592e-06;6,89960128705122e-06;4,67215037513563e-05;0,00079132575411226;0,000396083833828643
"BrA1_58_2017-06-22 1004003";"Br";"A1";"BrA1_58";"2017-06-22";1;1135;53,4573851003064;321,136301076433;"orig";0,283123360288347;0,397962348977349;0,11249810730509;8,31725113685721e-06;6,92503281972818e-06;0,000109710025338212;4,16067732879975e-05;0,000318054262939313;2,3222024907541e-06;0,00020163793333299;2,93547802813213e-05;1,28623328429528e-05;0,00194187659099227;0,0012815639109653;0,000478624222444059;0,00118221735740066;0,000166176816454385;1,82816517929713e-05;0,000385603336748246;0,000772577293284712;0,469013440576872;0,00208789144934992;0,00354474781304107;5,41142708334349e-05;0,000843428025676787;0,00385946291252277;5,53615175621033e-05;1,79917271249089e-05;6,25752618338532e-06;0,000658257267524454;0,000881844475195455;2,46048258478195e-05;1,36330759183363e-05;7,07711000427944e-05;0,000225928495285636;2,47486900556396e-05;0,00119934819397168
"BrA1_58_2017-06-22 1004003";"Br";"A1";"BrA1_58";"2017-06-22";1;1135;53,4573851003064;321,136301076433;"adjust";0,258323872283549;0,388999106207175;0,117585288522308;4,79754536383294e-10;8,7361052564412e-10;9,72427039193363e-08;2,75735014990949e-08;1,29148075322818e-06;1,17415472281768e-10;1,22952357178826e-07;2,03251156973801e-08;1,630303430173e-09;0,00016911293521104;9,01209187173322e-05;3,92997697486109e-05;6,87860958317824e-05;1,1241976603899e-07;9,58791107441114e-09;1,48644984120774e-06;1,20211939480746e-05;0,490029196834375;0,000459562369126133;0,000169869015588667;4,50085815541287e-08;4,6216346639367e-05;0,00131424850661217;1,71652330911628e-08;9,09909538645866e-09;4,28949663379418e-10;9,58806699021193e-05;0,000880946928591363;1,08835827206773e-07;3,52041620568992e-09;6,48279716142911e-08;6,05689796777505e-07;1,12822054042474e-08;3,63066951152995e-05
"BrA1_59_2017-06-14 1002885";"Br";"A1";"BrA1_59";"2017-06-14";1;232;25,0675773970995;657,490799176572;"orig";0,248160881689705;0,0129543173376497;1,19158628417013e-05;0,0121026050187468;0,0172862860363993;0,000110734396535596;0,126070224322484;0,000608334830989623;5,13820779281675e-05;0,000567133857717736;0,00181025468691471;3,8805812033326e-06;0,0179246570056767;0,0160025251153413;0,398617574068939;0,00755310018548151;0,0109077595131619;0,00270675110486643;0,00445307229672889;0,000450352680226681;0,282307157350469;0,00691886243383459;0,0129075952008795;0,000315320549208113;0,00333940937081802;0,0140259508431998;0,0322070026530144;0,000155844829659424;9,97696817665103e-05;0,000117032457033549;0,00128747951269843;0,000297577712691563;0,00367436603535771;0,00191860359634426;0,00524195964615914;0,00211329365275706;0,00287991349427628
"BrA1_59_2017-06-14 1002885";"Br";"A1";"BrA1_59";"2017-06-14";1;232;25,0675773970995;657,490799176572;"adjust";0,150266712859977;0,00651825467515318;9,70463861253611e-09;0,00451696789533901;0,0173913940457782;6,03925618358858e-07;0,14548204237819;0,000172476771927295;1,12977557836509e-07;7,63937992981922e-06;0,000315857303518227;2,46511466478294e-10;0,0121626690930577;0,0121549393905059;0,428766410801581;0,00137111664250724;0,00949678581432221;0,00318113847849425;0,00128653236883407;5,49922987379174e-06;0,31741439659967;0,00199611783071052;0,00954124181779311;1,03100989718759e-05;0,000328786756780406;0,00829778432863305;0,0161594214397886;1,75783539680238e-06;2,75964817087153e-07;5,72746962667396e-07;0,000739344107362854;3,36566465555994e-06;0,000277176482823435;0,000163438387582693;0,00136209112119211;0,000548447596158324;0,000325020097362609
"BrA1_60_2017-06-14 1003915";"Br";"A1";"BrA1_60";"2017-06-14";1;7224;1049,59975455538;600,729216252006;"orig";0,0518249038537625;7,91408029504613e-06;0,000235686571143971;9,65756108287611e-06;5,90880536101074e-05;0,000242732010692092;5,64812324152393e-05;0,000297252422339724;1,32942722989099e-05;0,000342952360237553;4,87772178763018e-05;2,3944729667737e-05;3,40715139390824e-05;0,00259532814648516;1,48946548022777e-06;0,000245108071323658;0,000948045979843976;0,964780126393244;2,05049393926541e-05;0,000789726846424476;8,51664224180357e-06;0,00466006782305604;9,83630392337877e-06;2,51589461310252e-06;2,16346463584178e-05;0,0133441773910197;2,16224349416366e-06;9,83882894029396e-05;0,0047211685735053;0,00478766342173343;0,000303334780578547;0,00116546759723637;5,98087493850761e-05;4,64324056781187e-05;9,58013749185155e-06;6,73677978174255e-06;3,26452706861562e-07
"BrA1_60_2017-06-14 1003915";"Br";"A1";"BrA1_60";"2017-06-14";1;7224;1049,59975455538;600,729216252006;"adjust";0,00639920611545181;9,24771172443478e-10;1,24192352358063e-06;8,01087991126366e-09;3,34617733650435e-08;0,000138504964747743;1,03822159358083e-08;1,56168659227325e-07;1,09593973988799e-08;2,73182308198995e-06;1,73535517851938e-07;9,26296694858175e-09;5,46415004163864e-09;2,09517806237123e-05;1,08231547647167e-10;1,94604113539785e-06;0,000165877195407285;0,985567117550032;8,07664842057499e-09;2,17027228105841e-05;2,2038457000171e-09;0,000846280760590545;5,53513652827747e-09;1,38864915312282e-10;6,01721061490977e-09;0,0127312665812013;8,1718362708183e-11;1,37108070214398e-06;0,000252245381853339;9,9905895815049e-05;0,000107316547229524;4,1010305389786e-05;2,88569961184564e-08;6,36449276867253e-08;6,47510353940269e-09;1,35237003338193e-10;1,60423444838147e-12
"BrA1_61_2017-06-14 1003962";"Br";"A1";"BrA1_61";"2017-06-14";1;741;171,451158363648;183,560361470931;"orig";0,220954459619373;0,0081907724206635;0,0239694281551376;0,000748644471768641;0,00416749138262852;0,495410000151958;0,00594754792077996;0,00493461213023389;0,00450551002076795;0,000337860827751828;0,0222954962618799;0,000364683876291336;0,00298368553280673;0,00828390179192699;2,91357829701105e-05;0,00826286505047175;0,337306248992675;0,0033679684341111;0,000262733543981827;0,00514275323475287;0,00138620978885967;0,0297682252271072;0,00146345867232629;0,00210561355996176;0,00980594065933941;0,003634466794144;0,00117078958524653;0,00476312672925922;0,000314657733802812;6,93888699343229e-06;0,000650277415794497;7,79234568348687e-05;0,000189834290576112;0,000292883587104446;0,000160302641398012;0,00762603360721501;7,19773804783001e-05
"BrA1_61_2017-06-14 1003962";"Br";"A1";"BrA1_61";"2017-06-14";1;741;171,451158363648;183,560361470931;"adjust";0,0979897350020408;0,00276685552769623;0,0156395860788217;1,50735977677299e-05;0,00274867672122507;0,519975561539185;0,00106721046695399;0,00521399521467819;0,00122831072150662;2,03111989978758e-06;0,0057938396775447;1,96948195309372e-05;0,000811998575169233;0,0036643966908293;1,88446395905397e-08;0,00390494847771522;0,396739712630224;0,00203008024083738;3,10948935658196e-07;0,00292825948119314;0,000104225898563294;0,0248629954014403;0,00135111405022932;0,000329118572323712;0,00259786128233281;0,000624260434378131;0,00022710715223152;0,00258373626892696;2,53990314445615e-06;1,68356479481264e-09;0,000114528403287957;1,0292634796609e-06;6,15262291526892e-07;1,06306795356681e-06;8,7177873070104e-07;0,00264821521854815;1,5498421938515e-07
