filn,site,coln,bbid,dat,cpday,nPoll,nRais,nGarb,orad,mH,P_Acer,P_Aesculus,P_Asteraceae,P_Brassicaceae,P_Centaurea.cyanus,P_Cytisus,P_Echium.vulgare,P_Fraxinus,P_Glechoma.hederacea,P_Heracleum,P_Jasione.montana,P_Laburnum,P_Lamium,P_Lonicera,P_Lupinus,P_Papaver,P_Phacelia,P_Pinaceae,P_Potentilla.group,P_Prunus.group,P_Prunus.groupB,P_Pulmonaria.group,P_Quercus,P_Ranunculus,P_Rhododendron,P_Robinia,P_Salix,P_Sambucus,P_Solanum,P_Spiraea,P_Symphytum,P_Taraxacum,P_Tilia,P_Trifolium.pratense,P_Trifolium.repens.group,P_Viola.arvensis.group
BrA1_54_2017-06-22 1003969,Br,A1,BrA1_54,6/22/17,1,2564,241.9556781,1108.336419,orig,0.6227911105153,0.0093270582388,0.0007430700864,0.0004713510244,0.0005192858358,0.0016999426111,0.0022817661059,0.0022175573107,0.0048935211899,0.0252930567340,0.0002962023964,0.0000421230566,0.0009281159892,0.0059049385000,0.0017579699147,0.0031734057352,0.0127940484268,0.0046721450878,0.0005505663189,0.0008966832669,0.1743818737593,0.0779727096142,0.0901688595098,0.0005507586251,0.0008576415247,0.0297196657777,0.5264314679464,0.0009832685770,0.0076195893007,0.0010056392833,0.0022884866281,0.0019285135425,0.0000337046942,0.0005285895876,0.0012719612835,0.0048637197303,0.0009307427865
BrA1_54_2017-06-22 1003969,Br,A1,BrA1_54,6/22/17,1,2564,241.9556781,1108.336419,adjust,0.4113034877447,0.0016594805874,0.0003821258597,0.0003902338215,0.0000620823113,0.0006779959816,0.0001296531660,0.0022021870716,0.0014518371535,0.0075507388439,0.0000020157884,0.0000000998731,0.0004504659505,0.0008907074194,0.0011846176214,0.0004012847601,0.0085321516940,0.0046040151406,0.0000089759555,0.0003397684783,0.1443632031666,0.0554268969400,0.0602795040927,0.0000053299382,0.0002133618479,0.0264101679787,0.6698221893904,0.0005910641846,0.0083987614186,0.0001543508596,0.0016524937659,0.0005195023673,0.0000017058786,0.0000068996013,0.0000467215038,0.0007913257541,0.0003960838338
BrA1_58_2017-06-22 1004003,Br,A1,BrA1_58,6/22/17,1,1135,53.4573851,321.1363011,orig,0.2831233602883,0.3979623489773,0.1124981073051,0.0000083172511,0.0000069250328,0.0001097100253,0.0000416067733,0.0003180542629,0.0000023222025,0.0002016379333,0.0000293547803,0.0000128623328,0.0019418765910,0.0012815639110,0.0004786242224,0.0011822173574,0.0001661768165,0.0000182816518,0.0003856033367,0.0007725772933,0.4690134405769,0.0020878914493,0.0035447478130,0.0000541142708,0.0008434280257,0.0038594629125,0.0000553615176,0.0000179917271,0.0000062575262,0.0006582572675,0.0008818444752,0.0000246048258,0.0000136330759,0.0000707711000,0.0002259284953,0.0000247486901,0.0011993481940
BrA1_58_2017-06-22 1004003,Br,A1,BrA1_58,6/22/17,1,1135,53.4573851,321.1363011,adjust,0.2583238722835,0.3889991062072,0.1175852885223,0.0000000004798,0.0000000008736,0.0000000972427,0.0000000275735,0.0000012914808,0.0000000001174,0.0000001229524,0.0000000203251,0.0000000016303,0.0001691129352,0.0000901209187,0.0000392997697,0.0000687860958,0.0000001124198,0.0000000095879,0.0000014864498,0.0000120211939,0.4900291968344,0.0004595623691,0.0001698690156,0.0000000450086,0.0000462163466,0.0013142485066,0.0000000171652,0.0000000090991,0.0000000004289,0.0000958806699,0.0008809469286,0.0000001088358,0.0000000035204,0.0000000648280,0.0000006056898,0.0000000112822,0.0000363066951
BrA1_59_2017-06-14 1002885,Br,A1,BrA1_59,6/14/17,1,232,25.0675774,657.4907992,orig,0.2481608816897,0.0129543173376,0.0000119158628,0.0121026050187,0.0172862860364,0.0001107343965,0.1260702243225,0.0006083348310,0.0000513820779,0.0005671338577,0.0018102546869,0.0000038805812,0.0179246570057,0.0160025251153,0.3986175740689,0.0075531001855,0.0109077595132,0.0027067511049,0.0044530722967,0.0004503526802,0.2823071573505,0.0069188624338,0.0129075952009,0.0003153205492,0.0033394093708,0.0140259508432,0.0322070026530,0.0001558448297,0.0000997696818,0.0001170324570,0.0012874795127,0.0002975777127,0.0036743660354,0.0019186035963,0.0052419596462,0.0021132936528,0.0028799134943
BrA1_59_2017-06-14 1002885,Br,A1,BrA1_59,6/14/17,1,232,25.0675774,657.4907992,adjust,0.1502667128600,0.0065182546752,0.0000000097046,0.0045169678953,0.0173913940458,0.0000006039256,0.1454820423782,0.0001724767719,0.0000001129776,0.0000076393799,0.0003158573035,0.0000000002465,0.0121626690931,0.0121549393905,0.4287664108016,0.0013711166425,0.0094967858143,0.0031811384785,0.0012865323688,0.0000054992299,0.3174143965997,0.0019961178307,0.0095412418178,0.0000103100990,0.0003287867568,0.0082977843286,0.0161594214398,0.0000017578354,0.0000002759648,0.0000005727470,0.0007393441074,0.0000033656647,0.0002771764828,0.0001634383876,0.0013620911212,0.0005484475962,0.0003250200974
BrA1_60_2017-06-14 1003915,Br,A1,BrA1_60,6/14/17,1,7224,1049.599755,600.7292163,orig,0.0518249038538,0.0000079140803,0.0002356865711,0.0000096575611,0.0000590880536,0.0002427320107,0.0000564812324,0.0002972524223,0.0000132942723,0.0003429523602,0.0000487772179,0.0000239447297,0.0000340715139,0.0025953281465,0.0000014894655,0.0002451080713,0.0009480459798,0.9647801263932,0.0000205049394,0.0007897268464,0.0000085166422,0.0046600678231,0.0000098363039,0.0000025158946,0.0000216346464,0.0133441773910,0.0000021622435,0.0000983882894,0.0047211685735,0.0047876634217,0.0003033347806,0.0011654675972,0.0000598087494,0.0000464324057,0.0000095801375,0.0000067367798,0.0000003264527
BrA1_60_2017-06-14 1003915,Br,A1,BrA1_60,6/14/17,1,7224,1049.599755,600.7292163,adjust,0.0063992061155,0.0000000009248,0.0000012419235,0.0000000080109,0.0000000334618,0.0001385049647,0.0000000103822,0.0000001561687,0.0000000109594,0.0000027318231,0.0000001735355,0.0000000092630,0.0000000054642,0.0000209517806,0.0000000001082,0.0000019460411,0.0001658771954,0.9855671175500,0.0000000080766,0.0000217027228,0.0000000022038,0.0008462807606,0.0000000055351,0.0000000001389,0.0000000060172,0.0127312665812,0.0000000000817,0.0000013710807,0.0002522453819,0.0000999058958,0.0001073165472,0.0000410103054,0.0000000288570,0.0000000636449,0.0000000064751,0.0000000001352,0.0000000000016
BrA1_61_2017-06-14 1003962,Br,A1,BrA1_61,6/14/17,1,741,171.4511584,183.5603615,orig,0.2209544596194,0.0081907724207,0.0239694281551,0.0007486444718,0.0041674913826,0.4954100001520,0.0059475479208,0.0049346121302,0.0045055100208,0.0003378608278,0.0222954962619,0.0003646838763,0.0029836855328,0.0082839017919,0.0000291357830,0.0082628650505,0.3373062489927,0.0033679684341,0.0002627335440,0.0051427532348,0.0013862097889,0.0297682252271,0.0014634586723,0.0021056135600,0.0098059406593,0.0036344667941,0.0011707895852,0.0047631267293,0.0003146577338,0.0000069388870,0.0006502774158,0.0000779234568,0.0001898342906,0.0002928835871,0.0001603026414,0.0076260336072,0.0000719773805
BrA1_61_2017-06-14 1003962,Br,A1,BrA1_61,6/14/17,1,741,171.4511584,183.5603615,adjust,0.0979897350020,0.0027668555277,0.0156395860788,0.0000150735978,0.0027486767212,0.5199755615392,0.0010672104670,0.0052139952147,0.0012283107215,0.0000020311199,0.0057938396775,0.0000196948195,0.0008119985752,0.0036643966908,0.0000000188446,0.0039049484777,0.3967397126302,0.0020300802408,0.0000003109489,0.0029282594812,0.0001042258986,0.0248629954014,0.0013511140502,0.0003291185723,0.0025978612823,0.0006242604344,0.0002271071522,0.0025837362689,0.0000025399031,0.0000000016836,0.0001145284033,0.0000010292635,0.0000006152623,0.0000010630680,0.0000008717787,0.0026482152185,0.0000001549842
